I (3248858) APP_MAIN: Gyro drift estimate Z = +0.006 °/s, Δ = -0.003 °/s , Yaw =  +0.26°
I (3308858) APP_MAIN: Gyro drift estimate Z = +0.003 °/s, Δ = -0.003 °/s , Yaw =  +0.14°
I (3368858) APP_MAIN: Gyro drift estimate Z = -0.000 °/s, Δ = -0.004 °/s , Yaw =  -0.02°
I (3428858) APP_MAIN: Gyro drift estimate Z = -0.003 °/s, Δ = -0.002 °/s , Yaw =  -0.11°
I (3488858) APP_MAIN: Gyro drift estimate Z = +0.003 °/s, Δ = +0.006 °/s , Yaw =  +0.13°
I (3548858) APP_MAIN: Gyro drift estimate Z = +0.002 °/s, Δ = -0.002 °/s , Yaw =  +0.06°
I (3608858) APP_MAIN: Gyro drift estimate Z = -0.001 °/s, Δ = -0.003 °/s , Yaw =  -0.04°
I (3668858) APP_MAIN: Gyro drift estimate Z = -0.001 °/s, Δ = -0.000 °/s , Yaw =  -0.05°
I (3728858) APP_MAIN: Gyro drift estimate Z = +0.001 °/s, Δ = +0.002 °/s , Yaw =  +0.02°
I (3788858) APP_MAIN: Gyro drift estimate Z = +0.003 °/s, Δ = +0.002 °/s , Yaw =  +0.11°
I (3848858) APP_MAIN: Gyro drift estimate Z = -0.001 °/s, Δ = -0.004 °/s , Yaw =  -0.04°
I (3908858) APP_MAIN: Gyro drift estimate Z = +0.015 °/s, Δ = +0.016 °/s , Yaw =  +0.61°
I (3968858) APP_MAIN: Gyro drift estimate Z = +0.016 °/s, Δ = +0.000 °/s , Yaw =  +0.62°
I (4028858) APP_MAIN: Gyro drift estimate Z = +0.010 °/s, Δ = -0.006 °/s , Yaw =  +0.38°
I (4088858) APP_MAIN: Gyro drift estimate Z = +0.004 °/s, Δ = -0.006 °/s , Yaw =  +0.16°
I (4148858) APP_MAIN: Gyro drift estimate Z = +0.002 °/s, Δ = -0.001 °/s , Yaw =  +0.10°
